Date,Expense Name,Amount,Account Number,Budget Category
2023-01-01,Salary Payment,3000,Checking,Salary
2023-01-01,Emergency Fund Contribution,180,Checking,Savings
2023-01-01,Nike Shoes,-213,Checking,Shopping & Miscellaneous
2023-01-01,Local Theatre Play,-66,Savings,Entertainment
2023-01-01,Monthly Rent - Apartment,-1200,Checking,Rent
2023-01-02,Emergency Fund Contribution,360,Checking,Savings
2023-01-02,Electricity Bill - PowerCo,-88,Checking,Utilities & Bills
2023-01-02,Chipotle,-65,Savings,Groceries & Dining
2023-01-04,Internet Bill - Comcast,-99,Savings,Utilities & Bills
2023-01-05,Transfer to Savings Account,316,Savings,Savings
2023-01-05,Zara Clothing,-34,Savings,Shopping & Miscellaneous
2023-01-08,Starbucks Coffee,-173,Checking,Groceries & Dining
2023-01-09,Trader Joe's,-234,Savings,Groceries & Dining
2023-01-10,Water Bill - City Water,-42,Savings,Utilities & Bills
2023-01-12,Sephora Makeup,-117,Savings,Shopping & Miscellaneous
2023-01-12,Amazon Purchase,-40,Savings,Shopping & Miscellaneous
2023-01-12,Mobile Plan - Verizon,-97,Savings,Utilities & Bills
2023-01-13,Sephora Makeup,-231,Checking,Shopping & Miscellaneous
2023-01-13,Sephora Makeup,-177,Savings,Shopping & Miscellaneous
2023-01-14,Amazon Prime Video,-54,Checking,Entertainment
2023-01-14,Transfer to Savings Account,349,Checking,Savings
2023-01-15,Transfer to Savings Account,441,Checking,Savings
2023-01-15,Escape Room Experience,-11,Checking,Entertainment
2023-01-15,IKEA Furniture,-249,Checking,Shopping & Miscellaneous
2023-01-16,Escape Room Experience,-40,Savings,Entertainment
2023-01-17,Investment Deposit,278,Savings,Savings
2023-01-18,Etsy Handmade Goods,-39,Savings,Shopping & Miscellaneous
2023-01-18,Transfer to Savings Account,303,Checking,Savings
2023-01-19,Concert Tickets,-61,Savings,Entertainment
2023-01-20,Sephora Makeup,-188,Savings,Shopping & Miscellaneous
2023-01-21,Internet Bill - Comcast,-40,Savings,Utilities & Bills
2023-01-21,Amusement Park Ticket,-37,Savings,Entertainment
2023-01-21,Trader Joe's,-227,Savings,Groceries & Dining
2023-01-22,Amusement Park Ticket,-14,Savings,Entertainment
2023-01-22,Heating Bill - GasCompany,-31,Checking,Utilities & Bills
2023-01-25,Amazon Prime Video,-36,Savings,Entertainment
2023-01-26,Netflix Subscription,-32,Savings,Entertainment
2023-01-27,Emergency Fund Contribution,252,Checking,Savings
2023-01-27,Investment Deposit,227,Savings,Savings
2023-01-28,Heating Bill - GasCompany,-67,Savings,Utilities & Bills
2023-01-28,DoorDash,-237,Checking,Groceries & Dining
2023-01-28,Target Shopping,-173,Savings,Shopping & Miscellaneous
2023-01-29,Best Buy Electronics,-196,Savings,Shopping & Miscellaneous
2023-01-29,Stock Purchase - Robinhood,354,Savings,Savings
2023-01-30,Stock Purchase - Robinhood,291,Savings,Savings
2023-01-30,Electricity Bill - PowerCo,-37,Checking,Utilities & Bills
2023-01-31,Salary Payment,3000,Checking,Salary
2023-01-31,Target Shopping,-241,Savings,Shopping & Miscellaneous
2023-01-31,Monthly Rent - Apartment,-1200,Checking,Rent
2023-01-31,Domino's Pizza,-95,Checking,Groceries & Dining
2023-01-31,Retirement Contribution - Vanguard,239,Checking,Savings
2023-02-01,Domino's Pizza,-183,Savings,Groceries & Dining
2023-02-01,Escape Room Experience,-18,Checking,Entertainment
2023-02-01,Mobile Plan - Verizon,-37,Checking,Utilities & Bills
2023-02-02,Electricity Bill - PowerCo,-66,Savings,Utilities & Bills
2023-02-02,Best Buy Electronics,-46,Checking,Shopping & Miscellaneous
2023-02-02,Spotify Premium,-56,Savings,Entertainment
2023-02-02,Transfer to Savings Account,273,Savings,Savings
2023-02-02,Local Boutique Purchase,-44,Savings,Shopping & Miscellaneous
2023-02-03,Transfer to Savings Account,301,Checking,Savings
2023-02-03,Escape Room Experience,-68,Checking,Entertainment
2023-02-05,Domino's Pizza,-174,Savings,Groceries & Dining
2023-02-05,Local Boutique Purchase,-89,Checking,Shopping & Miscellaneous
2023-02-05,Water Bill - City Water,-76,Savings,Utilities & Bills
2023-02-06,Apple Store,-108,Savings,Shopping & Miscellaneous
2023-02-06,Walmart Groceries,-296,Checking,Groceries & Dining
2023-02-07,Mobile Plan - Verizon,-51,Savings,Utilities & Bills
2023-02-08,Emergency Fund Contribution,308,Savings,Savings
2023-02-09,Heating Bill - GasCompany,-26,Savings,Utilities & Bills
2023-02-09,Internet Bill - Comcast,-91,Checking,Utilities & Bills
2023-02-10,Best Buy Electronics,-245,Savings,Shopping & Miscellaneous
2023-02-11,Fine Dining Restaurant,-115,Savings,Groceries & Dining
2023-02-11,Apple Store,-117,Savings,Shopping & Miscellaneous
2023-02-11,Water Bill - City Water,-92,Savings,Utilities & Bills
2023-02-12,Netflix Subscription,-54,Checking,Entertainment
2023-02-13,Internet Bill - Comcast,-50,Savings,Utilities & Bills
2023-02-14,Electricity Bill - PowerCo,-88,Savings,Utilities & Bills
2023-02-14,Water Bill - City Water,-40,Checking,Utilities & Bills
2023-02-14,Stock Purchase - Robinhood,329,Savings,Savings
2023-02-14,Water Bill - City Water,-20,Checking,Utilities & Bills
2023-02-14,Heating Bill - GasCompany,-37,Savings,Utilities & Bills
2023-02-16,Netflix Subscription,-30,Checking,Entertainment
2023-02-17,Starbucks Coffee,-159,Savings,Groceries & Dining
2023-02-18,Stock Purchase - Robinhood,336,Savings,Savings
2023-02-19,Mobile Plan - Verizon,-20,Savings,Utilities & Bills
2023-02-21,Transfer to Savings Account,411,Checking,Savings
2023-02-21,Etsy Handmade Goods,-111,Checking,Shopping & Miscellaneous
2023-02-22,Spotify Premium,-25,Savings,Entertainment
2023-02-22,Amusement Park Ticket,-29,Checking,Entertainment
2023-02-22,Electricity Bill - PowerCo,-83,Savings,Utilities & Bills
2023-02-23,Escape Room Experience,-25,Savings,Entertainment
2023-02-23,Amazon Prime Video,-60,Savings,Entertainment
2023-02-23,Zara Clothing,-183,Checking,Shopping & Miscellaneous
2023-02-24,Walmart Household Supplies,-90,Checking,Shopping & Miscellaneous
2023-02-25,Transfer to Savings Account,153,Checking,Savings
2023-02-25,Trader Joe's,-199,Checking,Groceries & Dining
2023-02-26,Best Buy Electronics,-221,Savings,Shopping & Miscellaneous
2023-02-26,Water Bill - City Water,-48,Savings,Utilities & Bills
2023-02-26,Uber Eats,-146,Checking,Groceries & Dining
2023-02-27,Concert Tickets,-51,Checking,Entertainment
2023-02-27,Stock Purchase - Robinhood,336,Savings,Savings
2023-02-27,McDonald's,-179,Checking,Groceries & Dining
2023-02-27,Etsy Handmade Goods,-211,Savings,Shopping & Miscellaneous
2023-02-28,Concert Tickets,-17,Savings,Entertainment
2023-02-28,Netflix Subscription,-40,Checking,Entertainment
2023-03-02,Salary Payment,3000,Checking,Salary
2023-03-02,Monthly Rent - Apartment,-1200,Checking,Rent
2023-03-02,Investment Deposit,395,Checking,Savings
2023-03-03,McDonald's,-250,Savings,Groceries & Dining
2023-03-03,Escape Room Experience,-29,Checking,Entertainment
2023-03-03,Target Shopping,-200,Checking,Shopping & Miscellaneous
2023-03-04,Heating Bill - GasCompany,-20,Checking,Utilities & Bills
2023-03-06,Local Boutique Purchase,-138,Checking,Shopping & Miscellaneous
2023-03-08,Mobile Plan - Verizon,-29,Checking,Utilities & Bills
2023-03-08,Nike Shoes,-89,Checking,Shopping & Miscellaneous
2023-03-10,HBO Max Subscription,-17,Checking,Entertainment
2023-03-10,Movie Night - AMC Theatres,-29,Savings,Entertainment
2023-03-10,Heating Bill - GasCompany,-41,Savings,Utilities & Bills
2023-03-11,HBO Max Subscription,-49,Checking,Entertainment
2023-03-12,Mobile Plan - Verizon,-99,Checking,Utilities & Bills
2023-03-12,Walmart Household Supplies,-135,Savings,Shopping & Miscellaneous
2023-03-12,Electricity Bill - PowerCo,-58,Savings,Utilities & Bills
2023-03-13,IKEA Furniture,-96,Checking,Shopping & Miscellaneous
2023-03-13,Retirement Contribution - Vanguard,262,Savings,Savings
2023-03-14,IKEA Furniture,-137,Savings,Shopping & Miscellaneous
2023-03-14,Heating Bill - GasCompany,-61,Checking,Utilities & Bills
2023-03-15,Amazon Prime Video,-22,Checking,Entertainment
2023-03-15,Trader Joe's,-112,Checking,Groceries & Dining
2023-03-16,IKEA Furniture,-229,Checking,Shopping & Miscellaneous
2023-03-17,Internet Bill - Comcast,-71,Checking,Utilities & Bills
2023-03-18,Internet Bill - Comcast,-90,Savings,Utilities & Bills
2023-03-21,Heating Bill - GasCompany,-87,Checking,Utilities & Bills
2023-03-22,Stock Purchase - Robinhood,451,Savings,Savings
2023-03-23,Mobile Plan - Verizon,-55,Savings,Utilities & Bills
2023-03-24,McDonald's,-298,Savings,Groceries & Dining
2023-03-26,Retirement Contribution - Vanguard,286,Checking,Savings
2023-03-26,Mobile Plan - Verizon,-83,Savings,Utilities & Bills
2023-03-27,Netflix Subscription,-42,Savings,Entertainment
2023-03-28,Concert Tickets,-54,Savings,Entertainment
2023-03-29,Local Theatre Play,-40,Checking,Entertainment
2023-03-30,Transfer to Savings Account,142,Savings,Savings
2023-03-30,Amazon Purchase,-186,Savings,Shopping & Miscellaneous
2023-04-01,Monthly Rent - Apartment,-1200,Checking,Rent
2023-04-01,Salary Payment,3000,Checking,Salary
2023-04-04,Amazon Purchase,-104,Savings,Shopping & Miscellaneous
2023-04-04,Water Bill - City Water,-52,Savings,Utilities & Bills
2023-04-04,Stock Purchase - Robinhood,373,Savings,Savings
2023-04-05,Zara Clothing,-61,Savings,Shopping & Miscellaneous
2023-04-05,Local Farmers Market,-66,Checking,Groceries & Dining
2023-04-07,Water Bill - City Water,-77,Checking,Utilities & Bills
2023-04-08,Local Theatre Play,-27,Checking,Entertainment
2023-04-09,Electricity Bill - PowerCo,-91,Checking,Utilities & Bills
2023-04-10,Trader Joe's,-67,Checking,Groceries & Dining
2023-04-13,Etsy Handmade Goods,-168,Checking,Shopping & Miscellaneous
2023-04-13,Mobile Plan - Verizon,-89,Savings,Utilities & Bills
2023-04-14,Uber Eats,-71,Checking,Groceries & Dining
2023-04-14,Water Bill - City Water,-56,Checking,Utilities & Bills
2023-04-15,Transfer to Savings Account,231,Savings,Savings
2023-04-17,Heating Bill - GasCompany,-31,Checking,Utilities & Bills
2023-04-18,Chipotle,-212,Checking,Groceries & Dining
2023-04-19,Transfer to Savings Account,425,Checking,Savings
2023-04-19,Transfer to Savings Account,314,Savings,Savings
2023-04-19,Heating Bill - GasCompany,-49,Savings,Utilities & Bills
2023-04-21,Stock Purchase - Robinhood,228,Checking,Savings
2023-04-21,Escape Room Experience,-44,Savings,Entertainment
2023-04-21,Water Bill - City Water,-65,Checking,Utilities & Bills
2023-04-22,Concert Tickets,-11,Savings,Entertainment
2023-04-23,Concert Tickets,-17,Checking,Entertainment
2023-04-23,Electricity Bill - PowerCo,-96,Checking,Utilities & Bills
2023-04-24,Electricity Bill - PowerCo,-68,Checking,Utilities & Bills
2023-04-24,Spotify Premium,-60,Checking,Entertainment
2023-04-25,Internet Bill - Comcast,-37,Savings,Utilities & Bills
2023-04-25,Uber Eats,-101,Savings,Groceries & Dining
2023-04-26,Domino's Pizza,-230,Savings,Groceries & Dining
2023-04-26,Mobile Plan - Verizon,-98,Checking,Utilities & Bills
2023-04-26,Mobile Plan - Verizon,-95,Checking,Utilities & Bills
2023-04-27,Investment Deposit,189,Checking,Savings
2023-04-27,Starbucks Coffee,-133,Savings,Groceries & Dining
2023-04-27,Amazon Prime Video,-30,Savings,Entertainment
2023-04-29,Etsy Handmade Goods,-54,Savings,Shopping & Miscellaneous
2023-04-29,Escape Room Experience,-31,Savings,Entertainment
2023-04-30,Domino's Pizza,-214,Checking,Groceries & Dining
2023-04-30,DoorDash,-225,Savings,Groceries & Dining
2023-05-01,Monthly Rent - Apartment,-1200,Checking,Rent
2023-05-01,Local Theatre Play,-58,Savings,Entertainment
2023-05-01,Sephora Makeup,-120,Savings,Shopping & Miscellaneous
2023-05-01,Salary Payment,3000,Checking,Salary
2023-05-02,Chipotle,-242,Checking,Groceries & Dining
2023-05-02,Fine Dining Restaurant,-156,Savings,Groceries & Dining
2023-05-04,Amazon Purchase,-55,Checking,Shopping & Miscellaneous
2023-05-05,Netflix Subscription,-35,Checking,Entertainment
2023-05-05,Chipotle,-192,Checking,Groceries & Dining
2023-05-07,Transfer to Savings Account,183,Checking,Savings
2023-05-08,Stock Purchase - Robinhood,279,Savings,Savings
2023-05-09,Investment Deposit,371,Checking,Savings
2023-05-10,Domino's Pizza,-171,Checking,Groceries & Dining
2023-05-10,Whole Foods,-216,Savings,Groceries & Dining
2023-05-10,Emergency Fund Contribution,242,Savings,Savings
2023-05-13,IKEA Furniture,-90,Savings,Shopping & Miscellaneous
2023-05-13,Amazon Purchase,-142,Savings,Shopping & Miscellaneous
2023-05-14,HBO Max Subscription,-38,Checking,Entertainment
2023-05-14,Local Farmers Market,-238,Savings,Groceries & Dining
2023-05-14,Movie Night - AMC Theatres,-55,Checking,Entertainment
2023-05-15,Amazon Purchase,-49,Savings,Shopping & Miscellaneous
2023-05-16,Whole Foods,-238,Checking,Groceries & Dining
2023-05-21,Amusement Park Ticket,-67,Checking,Entertainment
2023-05-21,Amusement Park Ticket,-50,Savings,Entertainment
2023-05-22,Electricity Bill - PowerCo,-38,Savings,Utilities & Bills
2023-05-22,Mobile Plan - Verizon,-49,Savings,Utilities & Bills
2023-05-22,Investment Deposit,434,Savings,Savings
2023-05-23,Walmart Groceries,-192,Savings,Groceries & Dining
2023-05-24,Electricity Bill - PowerCo,-72,Savings,Utilities & Bills
2023-05-25,Etsy Handmade Goods,-107,Checking,Shopping & Miscellaneous
2023-05-26,Escape Room Experience,-57,Savings,Entertainment
2023-05-26,Fine Dining Restaurant,-259,Checking,Groceries & Dining
2023-05-26,Local Theatre Play,-32,Checking,Entertainment
2023-05-26,Escape Room Experience,-23,Savings,Entertainment
2023-05-27,Local Theatre Play,-11,Savings,Entertainment
2023-05-28,HBO Max Subscription,-30,Checking,Entertainment
2023-05-28,Heating Bill - GasCompany,-68,Checking,Utilities & Bills
2023-05-29,HBO Max Subscription,-25,Checking,Entertainment
2023-05-29,Amazon Purchase,-90,Checking,Shopping & Miscellaneous
2023-05-29,Zara Clothing,-201,Checking,Shopping & Miscellaneous
2023-05-30,Amusement Park Ticket,-16,Checking,Entertainment
2023-05-30,Uber Eats,-221,Savings,Groceries & Dining
2023-05-30,Nike Shoes,-247,Checking,Shopping & Miscellaneous
2023-05-30,Mobile Plan - Verizon,-50,Savings,Utilities & Bills
2023-05-30,Amazon Prime Video,-65,Checking,Entertainment
2023-05-31,Best Buy Electronics,-131,Checking,Shopping & Miscellaneous
2023-05-31,Emergency Fund Contribution,142,Checking,Savings
2023-05-31,Monthly Rent - Apartment,-1200,Checking,Rent
2023-05-31,Salary Payment,3000,Checking,Salary
2023-06-01,Sephora Makeup,-41,Checking,Shopping & Miscellaneous
2023-06-01,Amazon Prime Video,-16,Savings,Entertainment
2023-06-02,Whole Foods,-102,Checking,Groceries & Dining
2023-06-03,Walmart Household Supplies,-130,Checking,Shopping & Miscellaneous
2023-06-03,Best Buy Electronics,-46,Savings,Shopping & Miscellaneous
2023-06-03,IKEA Furniture,-116,Savings,Shopping & Miscellaneous
2023-06-03,Local Theatre Play,-58,Savings,Entertainment
2023-06-03,Internet Bill - Comcast,-51,Checking,Utilities & Bills
2023-06-04,Target Shopping,-213,Checking,Shopping & Miscellaneous
2023-06-04,Domino's Pizza,-271,Checking,Groceries & Dining
2023-06-05,Electricity Bill - PowerCo,-68,Checking,Utilities & Bills
2023-06-05,Local Theatre Play,-49,Checking,Entertainment
2023-06-05,DoorDash,-245,Checking,Groceries & Dining
2023-06-05,Trader Joe's,-93,Savings,Groceries & Dining
2023-06-05,Starbucks Coffee,-263,Checking,Groceries & Dining
2023-06-06,Fine Dining Restaurant,-243,Savings,Groceries & Dining
2023-06-07,Amazon Purchase,-68,Checking,Shopping & Miscellaneous
2023-06-08,Chipotle,-86,Savings,Groceries & Dining
2023-06-08,Spotify Premium,-12,Checking,Entertainment
2023-06-09,Spotify Premium,-43,Savings,Entertainment
2023-06-09,Walmart Household Supplies,-88,Savings,Shopping & Miscellaneous
2023-06-10,Electricity Bill - PowerCo,-55,Savings,Utilities & Bills
2023-06-13,Electricity Bill - PowerCo,-79,Savings,Utilities & Bills
2023-06-14,Stock Purchase - Robinhood,318,Savings,Savings
2023-06-15,Electricity Bill - PowerCo,-43,Checking,Utilities & Bills
2023-06-16,DoorDash,-127,Checking,Groceries & Dining
2023-06-16,Netflix Subscription,-11,Checking,Entertainment
2023-06-16,Zara Clothing,-38,Checking,Shopping & Miscellaneous
2023-06-18,Retirement Contribution - Vanguard,481,Savings,Savings
2023-06-18,Movie Night - AMC Theatres,-42,Savings,Entertainment
2023-06-20,Netflix Subscription,-29,Checking,Entertainment
2023-06-20,Retirement Contribution - Vanguard,114,Checking,Savings
2023-06-21,Water Bill - City Water,-72,Savings,Utilities & Bills
2023-06-21,HBO Max Subscription,-27,Savings,Entertainment
2023-06-22,Stock Purchase - Robinhood,273,Checking,Savings
2023-06-22,Investment Deposit,191,Savings,Savings
2023-06-22,Transfer to Savings Account,151,Checking,Savings
2023-06-25,Local Theatre Play,-20,Savings,Entertainment
2023-06-26,Mobile Plan - Verizon,-76,Checking,Utilities & Bills
2023-06-26,Domino's Pizza,-276,Savings,Groceries & Dining
2023-06-28,Movie Night - AMC Theatres,-19,Savings,Entertainment
2023-06-28,Best Buy Electronics,-86,Savings,Shopping & Miscellaneous
2023-06-29,Amusement Park Ticket,-59,Savings,Entertainment
2023-06-30,Concert Tickets,-53,Checking,Entertainment
2023-06-30,Monthly Rent - Apartment,-1200,Checking,Rent
2023-06-30,Salary Payment,3000,Checking,Salary
2023-07-01,Zara Clothing,-195,Savings,Shopping & Miscellaneous
2023-07-01,Transfer to Savings Account,105,Checking,Savings
2023-07-01,Investment Deposit,242,Checking,Savings
2023-07-01,Uber Eats,-286,Savings,Groceries & Dining
2023-07-02,Emergency Fund Contribution,335,Checking,Savings
2023-07-02,Spotify Premium,-21,Savings,Entertainment
2023-07-03,Amazon Purchase,-67,Savings,Shopping & Miscellaneous
2023-07-03,Spotify Premium,-14,Checking,Entertainment
2023-07-03,Walmart Household Supplies,-238,Savings,Shopping & Miscellaneous
2023-07-04,Mobile Plan - Verizon,-84,Checking,Utilities & Bills
2023-07-04,Target Shopping,-70,Savings,Shopping & Miscellaneous
2023-07-04,Water Bill - City Water,-53,Savings,Utilities & Bills
2023-07-06,Retirement Contribution - Vanguard,385,Savings,Savings
2023-07-07,Apple Store,-215,Savings,Shopping & Miscellaneous
2023-07-07,Movie Night - AMC Theatres,-45,Savings,Entertainment
2023-07-07,Mobile Plan - Verizon,-61,Savings,Utilities & Bills
2023-07-08,Starbucks Coffee,-215,Savings,Groceries & Dining
2023-07-10,Zara Clothing,-195,Savings,Shopping & Miscellaneous
2023-07-11,Internet Bill - Comcast,-65,Checking,Utilities & Bills
2023-07-13,Nike Shoes,-234,Savings,Shopping & Miscellaneous
2023-07-15,Uber Eats,-267,Savings,Groceries & Dining
2023-07-16,Amusement Park Ticket,-23,Savings,Entertainment
2023-07-16,Amusement Park Ticket,-15,Savings,Entertainment
2023-07-17,McDonald's,-192,Savings,Groceries & Dining
2023-07-17,Amazon Prime Video,-14,Savings,Entertainment
2023-07-18,Investment Deposit,236,Savings,Savings
2023-07-20,Investment Deposit,324,Savings,Savings
2023-07-20,Water Bill - City Water,-53,Savings,Utilities & Bills
2023-07-21,Trader Joe's,-236,Checking,Groceries & Dining
2023-07-21,McDonald's,-135,Checking,Groceries & Dining
2023-07-22,Spotify Premium,-64,Checking,Entertainment
2023-07-23,Retirement Contribution - Vanguard,228,Savings,Savings
2023-07-24,Stock Purchase - Robinhood,244,Checking,Savings
2023-07-24,Stock Purchase - Robinhood,163,Checking,Savings
2023-07-25,Water Bill - City Water,-35,Checking,Utilities & Bills
